iso_code,date,vaccine_id,total_vaccinations
CHL,3/05/2021,2,2252657
CHL,3/05/2021,4,12803189
CHL,4/05/2021,1,43729
CHL,4/05/2021,2,2302409
CHL,4/05/2021,4,12909914
CHL,5/05/2021,1,52142
CHL,5/05/2021,2,2352358
CHL,5/05/2021,4,13026642
CHL,6/05/2021,1,58980
CHL,6/05/2021,2,2393600
CHL,6/05/2021,4,13136780
CHL,7/05/2021,1,62917
CHL,7/05/2021,2,2427810
CHL,7/05/2021,4,13246579
CHL,8/05/2021,1,63527
CHL,8/05/2021,2,2433609
CHL,8/05/2021,4,13265761
CHL,9/05/2021,1,63594
CHL,9/05/2021,2,2433677
CHL,9/05/2021,4,13267030
CHL,10/05/2021,1,66450
CHL,10/05/2021,2,2473268
CHL,10/05/2021,4,13398259
CHL,11/05/2021,1,68392
CHL,11/05/2021,2,2539463
CHL,11/05/2021,4,13522853
CHL,12/05/2021,1,70028
CHL,12/05/2021,2,2598977
CHL,12/05/2021,4,13645034
CHL,13/05/2021,1,70573
CHL,13/05/2021,2,2646919
CHL,13/05/2021,4,13754208
CHL,14/05/2021,1,70808
CHL,14/05/2021,2,2691846
CHL,14/05/2021,4,13868496
CHL,15/05/2021,1,70848
CHL,15/05/2021,2,2692140
CHL,15/05/2021,4,13869619
CHL,16/05/2021,1,70848
CHL,16/05/2021,2,2692220
CHL,16/05/2021,4,13869975
CHL,17/05/2021,1,71142
CHL,17/05/2021,2,2745592
CHL,17/05/2021,4,13987929
CHL,18/05/2021,1,72567
CHL,18/05/2021,2,2824241
CHL,18/05/2021,4,14091599
CHL,19/05/2021,1,79070
CHL,19/05/2021,2,2903830
CHL,19/05/2021,4,14172490
CHL,20/05/2021,1,85772
CHL,20/05/2021,2,2974838
CHL,20/05/2021,4,14286587
CHL,21/05/2021,1,85842
CHL,21/05/2021,2,2981889
CHL,21/05/2021,4,14289129
CHL,22/05/2021,1,86329
CHL,22/05/2021,2,2994479
CHL,22/05/2021,4,14309151
CHL,23/05/2021,1,86349
CHL,23/05/2021,2,2995610
